"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"AI-чат-бот на сайт за 2 дня без программирования 2026: n8n + Claude + Bubble","https://chimitdorzhi.tech/blog/ai-chatbot-na-sayt-bez-programmirovaniya-2026/pin.png","CHIMITDORZHI STUDIO","","За выходные ставим AI-бота на сайт без программирования. n8n + LLM + Crisp/Tawk + Google Sheets/amoCRM + Telegram. Полный workflow, system prompt, лид-квалификация, тестирование. Бюджет 5-15 тыс ₽/месяц.","https://chimitdorzhi.tech/blog/ai-chatbot-na-sayt-bez-programmirovaniya-2026/","","no-code, n8n, Claude, AI, чат-бот, Bubble"
"Доступность сайта (a11y) 2026: что требует закон и почему это даст +30% трафика","https://chimitdorzhi.tech/blog/dostupnost-sayta-a11y-2026/pin.png","CHIMITDORZHI STUDIO","","В РФ 12 млн людей с инвалидностью. С 2025-2026 требования доступности расширяются на коммерческие сайты. Правильная a11y — это не только закон, но и +20-30% к SEO-трафику. Чек-лист, инструменты, цены.","https://chimitdorzhi.tech/blog/dostupnost-sayta-a11y-2026/","","a11y, доступность, WCAG, инвалиды, SEO, закон"
"SEO для интернет-магазина в Яндексе 2026: 30 хаков от практика","https://chimitdorzhi.tech/blog/seo-internet-magazina-yandex-30-hakov-2026/pin.png","CHIMITDORZHI STUDIO","","30 конкретных SEO-хаков для интернет-магазина под Яндекс 2026: технический SEO, карточки товара, категории и навигация, блог, аналитика и Я.Вебмастер. Прирост органики 30-70% за 3 месяца.","https://chimitdorzhi.tech/blog/seo-internet-magazina-yandex-30-hakov-2026/","","SEO, e-commerce, Яндекс, интернет-магазин, продвижение"
"Свой интернет-магазин vs Wildberries и Ozon в 2026: расчёт реального ROI","https://chimitdorzhi.tech/blog/svoy-magazin-vs-wildberries-ozon-2026/pin.png","CHIMITDORZHI STUDIO","","Комиссии WB и Ozon выросли до 25-45%. Когда выгодно выходить на свой магазин, когда оставаться. Реальная математика 3 сценариев оборота, технический стек, план перехода за 6 месяцев.","https://chimitdorzhi.tech/blog/svoy-magazin-vs-wildberries-ozon-2026/","","интернет-магазин, маркетплейс, Wildberries, Ozon, e-commerce"
"Свой сайт vs соцсети 2026: почему ваш контент на чужих платформах — не ваш","https://chimitdorzhi.tech/blog/svoy-sayt-vs-socseti-2026/pin.png","CHIMITDORZHI STUDIO","","В 2026 алгоритмы душат охваты, аккаунты блокируют, платформы меняют правила. Свой сайт + email-база + Telegram = единственный актив, который вы реально контролируете. План перехода за 90 дней.","https://chimitdorzhi.tech/blog/svoy-sayt-vs-socseti-2026/","","сайт под ключ, контент, маркетинг, аудитория"
"Свой VPS для разработчика в 2026: Selectel vs RuVDS vs Timeweb vs Yandex Cloud — реальное сравнение","https://chimitdorzhi.tech/blog/svoy-vps-dlya-razrabotchika-2026/pin.png","CHIMITDORZHI STUDIO","","Реальный опыт инженера, пять лет живущего на Selectel + RuVDS + Yandex Cloud. Цены 2026, плюсы и минусы провайдеров, таблица сравнения 14 параметров, пошаговая настройка VPS за 30 минут с bash-скриптами, топ-15 self-hosted приложений и расчёт ROI.","https://chimitdorzhi.tech/blog/svoy-vps-dlya-razrabotchika-2026/","","VPS, хостинг, DevOps, Selectel, RuVDS, Timeweb, Yandex Cloud"
"AI-агенты в бизнесе 2026: что реально работает, а что — маркетинг","https://chimitdorzhi.tech/blog/ai-agenty-v-biznese-2026/pin.png","CHIMITDORZHI STUDIO","","Сертифицированный AI-инженер о том, что такое настоящий AI-агент, какие use cases работают в 2026, сколько стоят и как не нарваться на маркетинговую обёртку.","https://chimitdorzhi.tech/blog/ai-agenty-v-biznese-2026/","","AI-агенты, LangChain, GPT, автоматизация, AutoGen, n8n"
"Whisper + GPT для транскрипции совещаний 2026: AI-ассистент для встреч","https://chimitdorzhi.tech/blog/ai-transkripciya-soveshchaniy-2026/pin.png","CHIMITDORZHI STUDIO","","Полный путь к AI-ассистенту для встреч за выходные: Whisper, диаризация, саммари через Claude/GPT/YandexGPT, интеграция с Notion/Trello/Telegram. Юр-нюансы РФ, кейс автора.","https://chimitdorzhi.tech/blog/ai-transkripciya-soveshchaniy-2026/","","Whisper, транскрипция, AI, совещания, OpenAI, локальная нейросеть"
"AI в маркетинге 2026: что реально работает — контент, копирайт, SEO","https://chimitdorzhi.tech/blog/ai-v-marketinge-2026/pin.png","CHIMITDORZHI STUDIO","","Что AI реально умеет в маркетинге 2026: SEO-статьи, email, соцсети, переводы. Что не умеет: голос бренда, ирония, истории. Стек инструментов, 4 промпта, кейс 35 000 слов за 2 месяца.","https://chimitdorzhi.tech/blog/ai-v-marketinge-2026/","","AI, маркетинг, контент, SEO, GPT, копирайтинг"
"Чек-лист безопасности сайта: 47 пунктов от практика — что проверить за час","https://chimitdorzhi.tech/blog/chek-list-bezopasnosti-sayta-47-punktov/pin.png","CHIMITDORZHI STUDIO","","47 пунктов проверки безопасности за час без специального ПО. HTTPS, OWASP Top 10, утечки, инфраструктура. С командами и инструкциями. Закрывает 80% типовых брешей.","https://chimitdorzhi.tech/blog/chek-list-bezopasnosti-sayta-47-punktov/","","безопасность, аудит, OWASP, пентест, XSS, SQL-инъекции"
"Локальный LLM на ноутбуке 2026: Ollama, LM Studio, vLLM — практическое руководство","https://chimitdorzhi.tech/blog/lokalnyy-llm-na-noutbuke-2026/pin.png","CHIMITDORZHI STUDIO","","Как поднять локальный LLM за час: Ollama, LM Studio, vLLM. Какие модели выбрать в 2026, бенчмарки скорости на M3 Max / RTX 4090 / H100, локальный RAG за 40 строк, экономика владения.","https://chimitdorzhi.tech/blog/lokalnyy-llm-na-noutbuke-2026/","","LLM, Ollama, LM Studio, vLLM, локальная нейросеть, self-hosted"
"MCP — Model Context Protocol 2026: как Anthropic меняет интеграции с AI","https://chimitdorzhi.tech/blog/mcp-model-context-protocol-2026/pin.png","CHIMITDORZHI STUDIO","","MCP — «USB-C для AI». Первый практический разбор на русском от инженера, который реально внедрял MCP в проектах с 2025. Архитектура, готовые серверы, как поднять свой, кейсы.","https://chimitdorzhi.tech/blog/mcp-model-context-protocol-2026/","","MCP, Anthropic, Claude, AI-агенты, интеграции, tool use"
"RAG-системы для бизнеса 2026: AI, который отвечает по вашим документам","https://chimitdorzhi.tech/blog/rag-sistemy-dlya-biznesa-2026/pin.png","CHIMITDORZHI STUDIO","","Сертифицированный по RAG практик о том, как устроена связка «векторный поиск + LLM», какие vector DB и embeddings брать в РФ, сколько стоит и где ломается на реальной базе из 10 000+ документов.","https://chimitdorzhi.tech/blog/rag-sistemy-dlya-biznesa-2026/","","RAG, AI, vector search, embeddings, базы знаний"
"Российский AI-стек 2026: чем заменить OpenAI, Claude и Gemini","https://chimitdorzhi.tech/blog/rossiyskiy-ai-stack-2026/pin.png","CHIMITDORZHI STUDIO","","Что есть в РФ вместо OpenAI и Claude: YandexGPT 5, GigaChat 3, T-Pro, Cotype, Kandinsky 4, open-source self-hosting. Цены, код подключения, кейсы.","https://chimitdorzhi.tech/blog/rossiyskiy-ai-stack-2026/","","AI, YandexGPT, GigaChat, российский AI, импортозамещение"
"Утечки персональных данных: что делать в первые 24 часа","https://chimitdorzhi.tech/blog/utechki-pd-24-chasa-2026/pin.png","CHIMITDORZHI STUDIO","","Что делать в первые 60 минут, 4 часа, 24 часа и 72 часа после обнаружения утечки ПД. Уведомление РКН, информирование клиентов, штрафы 2026 до 500 млн ₽.","https://chimitdorzhi.tech/blog/utechki-pd-24-chasa-2026/","","152-ФЗ, утечка данных, РКН, персональные данные, инцидент-менеджмент"
"Аудит сайта по 152-ФЗ в 2026: полная инструкция для бизнеса","https://chimitdorzhi.tech/blog/audit-152-fz-2026/pin.png","CHIMITDORZHI STUDIO","","Новые штрафы по 152-ФЗ доходят до 500 млн ₽. Чек-лист из 32 пунктов, пошаговый план устранения нарушений и сравнение цен на аудит.","https://chimitdorzhi.tech/blog/audit-152-fz-2026/","","152-ФЗ, аудит, персональные данные, РКН, штрафы 2026"
"ЦФА для бизнеса 2026: что это, зачем и как использовать","https://chimitdorzhi.tech/blog/cfa-dlya-biznesa-2026/pin.png","CHIMITDORZHI STUDIO","","Эксперт РАКИБ ДФО разбирает ЦФА для бизнеса: отличия от крипты, операторы (Атомайз, Сбер, Альфа), кейсы Норникеля и ВТБ, пошаговая эмиссия, налоги и риски.","https://chimitdorzhi.tech/blog/cfa-dlya-biznesa-2026/","","ЦФА, 259-ФЗ, токенизация, блокчейн, инвестиции"
"Cookie-баннер по закону: как сделать правильно и не получить штраф","https://chimitdorzhi.tech/blog/cookie-banner-zakon/pin.png","CHIMITDORZHI STUDIO","","Семь обязательных элементов правильного баннера, пять запрещённых dark patterns, готовый код на 60 строк JS и штрафы за нарушения по ст. 13.11 КоАП.","https://chimitdorzhi.tech/blog/cookie-banner-zakon/","","cookies, 152-ФЗ, РКН, Яндекс.Метрика, dark patterns"
"Локализация персональных данных на серверы РФ: как перенести и не сломать","https://chimitdorzhi.tech/blog/lokalizaciya-pd-2026/pin.png","CHIMITDORZHI STUDIO","","Сравнение Yandex Cloud, VK Cloud, Selectel и других. Пошаговый план переноса с AWS/GCP/Azure, гибридные схемы, штрафы по ст. 13.11 ч. 8 КоАП и самопроверка.","https://chimitdorzhi.tech/blog/lokalizaciya-pd-2026/","","152-ФЗ, локализация, персональные данные, хостинг"
"Как превратить обычный сайт в PWA за выходные: пошаговый туториал с кодом","https://chimitdorzhi.tech/blog/pwa-iz-sayta-za-vyhodnye-2026/pin.png","CHIMITDORZHI STUDIO","","Туториал на выходные: manifest.json, Service Worker, install-button и push-уведомления для iOS и Android. Готовый код, чек-листы и публикация в RuStore.","https://chimitdorzhi.tech/blog/pwa-iz-sayta-za-vyhodnye-2026/","","PWA, разработка, frontend, мобильные приложения, туториал"
"Уведомление в РКН: пошаговая подача в реестр операторов ПД 2026","https://chimitdorzhi.tech/blog/uvedomlenie-rkn-2026/pin.png","CHIMITDORZHI STUDIO","","Подача уведомления в реестр операторов ПД на pd.rkn.gov.ru шаг за шагом: что собрать, как заполнить каждое поле, частые ошибки, штрафы и ответы на 8 типичных вопросов.","https://chimitdorzhi.tech/blog/uvedomlenie-rkn-2026/","","РКН, 152-ФЗ, реестр операторов, персональные данные"
